frame.number,frame.time_epoch,tcp.srcport,tcp.dstport
"1","1512236653.431539000","58220","8081"
"2","1512236653.431630000","58220","8081"
"3","1512236653.431715000","58220","8081"
"4","1512236653.431825000","58220","8081"
"5","1512236653.431912000","58220","8081"
"6","1512236653.431999000","58220","8081"
"7","1512236653.432111000","58220","8081"
"8","1512236653.435460000","8081","58220"
"9","1512236653.676834000","58220","8081"
"10","1512236653.676993000","58220","8081"
"11","1512236653.678912000","58220","8081"
"12","1512236653.679008000","8081","58220"
"13","1512236653.679129000","58220","8081"
"14","1512236653.679410000","58220","8081"
"15","1512236653.679572000","58220","8081"
"16","1512236653.679740000","58220","8081"
"17","1512236653.680220000","8081","58220"
"18","1512236653.939937000","58220","8081"
"19","1512236653.940181000","58220","8081"
"20","1512236653.941084000","8081","58220"
"21","1512236653.941867000","58220","8081"
"22","1512236653.942033000","58220","8081"
"23","1512236653.942196000","58220","8081"
"24","1512236653.942278000","8081","58220"
"25","1512236653.942402000","58220","8081"
"26","1512236653.942678000","8081","58220"
"27","1512236653.942759000","58220","8081"
"28","1512236653.980033000","8081","58220"
"29","1512236654.198017000","58220","8081"
"30","1512236654.198385000","58220","8081"
"31","1512236654.198399000","8081","58220"
"32","1512236654.198635000","8081","58220"
"33","1512236654.199136000","58220","8081"
"34","1512236654.199328000","58220","8081"
"35","1512236654.199505000","8081","58220"
"36","1512236654.199709000","8081","58220"
"37","1512236654.199859000","58220","8081"
"38","1512236654.200154000","58220","8081"
"39","1512236654.200193000","8081","58220"
"40","1512236654.200434000","8081","58220"
"41","1512236654.229746000","58220","8081"
"42","1512236654.230114000","8081","58220"
"43","1512236654.230163000","58220","8081"
"44","1512236654.230569000","8081","58220"
"45","1512236654.456034000","58220","8081"
"46","1512236654.456439000","8081","58220"
"47","1512236654.459897000","58220","8081"
"48","1512236654.461843000","58220","8081"
"49","1512236654.462268000","8081","58220"
"50","1512236654.493144000","8081","58220"
"51","1512236654.493306000","8081","58220"
"52","1512236654.743870000","58220","8081"
"53","1512236654.747874000","58220","8081"
"54","1512236654.779471000","8081","58220"
"55","1512236654.779635000","8081","58220"
"56","1512236654.779757000","8081","58220"
"57","1512236654.779849000","8081","58220"
"58","1512236655.041880000","58220","8081"
"59","1512236655.041952000","58220","8081"
"60","1512236655.041995000","58220","8081"
"61","1512236655.042038000","58220","8081"
"62","1512236655.043907000","58220","8081"
"63","1512236655.082158000","8081","58220"
"64","1512236655.082698000","8081","58220"
"65","1512236655.082934000","8081","58220"
"66","1512236655.083340000","8081","58220"
"67","1512236655.333511000","58220","8081"
"68","1512236655.333663000","58220","8081"
"69","1512236655.333787000","58220","8081"
"70","1512236655.337839000","58220","8081"
"71","1512236655.338009000","58220","8081"
"72","1512236655.377131000","8081","58220"
"73","1512236655.377584000","8081","58220"
"74","1512236655.378937000","8081","58220"
"75","1512236655.630168000","58220","8081"
"76","1512236655.632286000","58220","8081"
"77","1512236655.644964000","58220","8081"
"78","1512236655.645039000","58220","8081"
"79","1512236655.680165000","8081","58220"
"80","1512236655.680384000","8081","58220"
"81","1512236655.680837000","8081","58220"
"82","1512236655.967861000","58220","8081"
"83","1512236655.968027000","58220","8081"
"84","1512236655.968191000","58220","8081"
"85","1512236655.968584000","58220","8081"
"86","1512236655.968996000","58220","8081"
"87","1512236655.969578000","58220","8081"
"88","1512236655.995268000","8081","58220"
"89","1512236655.995338000","8081","58220"
"90","1512236656.245077000","58220","8081"
"91","1512236656.245321000","58220","8081"
"92","1512236656.246663000","58220","8081"
"93","1512236656.249482000","58220","8081"
"94","1512236656.249527000","58220","8081"
"95","1512236656.715940000","8081","58220"
"96","1512236656.979235000","58220","8081"
"97","1512236656.982093000","58220","8081"
"98","1512236657.015599000","8081","58220"
"99","1512236657.015831000","8081","58220"
"100","1512236657.016080000","8081","58220"
"101","1512236657.263914000","58220","8081"
"102","1512236657.264127000","58220","8081"
"103","1512236657.264375000","8081","58220"
