frame.number,frame.time,tcp.srcport,tcp.dstport,nbns.flags.rcode
"1","Dec  2, 2017 12:44:13.431539000 Eastern Standard Time","58220","8081",
"2","Dec  2, 2017 12:44:13.431630000 Eastern Standard Time","58220","8081",
"3","Dec  2, 2017 12:44:13.431715000 Eastern Standard Time","58220","8081",
"4","Dec  2, 2017 12:44:13.431825000 Eastern Standard Time","58220","8081",
"5","Dec  2, 2017 12:44:13.431912000 Eastern Standard Time","58220","8081",
"6","Dec  2, 2017 12:44:13.431999000 Eastern Standard Time","58220","8081",
"7","Dec  2, 2017 12:44:13.432111000 Eastern Standard Time","58220","8081",
"8","Dec  2, 2017 12:44:13.435460000 Eastern Standard Time","8081","58220",
"9","Dec  2, 2017 12:44:13.676834000 Eastern Standard Time","58220","8081",
"10","Dec  2, 2017 12:44:13.676993000 Eastern Standard Time","58220","8081",
"11","Dec  2, 2017 12:44:13.678912000 Eastern Standard Time","58220","8081",
"12","Dec  2, 2017 12:44:13.679008000 Eastern Standard Time","8081","58220",
"13","Dec  2, 2017 12:44:13.679129000 Eastern Standard Time","58220","8081",
"14","Dec  2, 2017 12:44:13.679410000 Eastern Standard Time","58220","8081",
"15","Dec  2, 2017 12:44:13.679572000 Eastern Standard Time","58220","8081",
"16","Dec  2, 2017 12:44:13.679740000 Eastern Standard Time","58220","8081",
"17","Dec  2, 2017 12:44:13.680220000 Eastern Standard Time","8081","58220",
"18","Dec  2, 2017 12:44:13.939937000 Eastern Standard Time","58220","8081",
"19","Dec  2, 2017 12:44:13.940181000 Eastern Standard Time","58220","8081",
"20","Dec  2, 2017 12:44:13.941084000 Eastern Standard Time","8081","58220",
"21","Dec  2, 2017 12:44:13.941867000 Eastern Standard Time","58220","8081",
"22","Dec  2, 2017 12:44:13.942033000 Eastern Standard Time","58220","8081",
"23","Dec  2, 2017 12:44:13.942196000 Eastern Standard Time","58220","8081",
"24","Dec  2, 2017 12:44:13.942278000 Eastern Standard Time","8081","58220",
"25","Dec  2, 2017 12:44:13.942402000 Eastern Standard Time","58220","8081",
"26","Dec  2, 2017 12:44:13.942678000 Eastern Standard Time","8081","58220",
"27","Dec  2, 2017 12:44:13.942759000 Eastern Standard Time","58220","8081",
"28","Dec  2, 2017 12:44:13.980033000 Eastern Standard Time","8081","58220",
"29","Dec  2, 2017 12:44:14.198017000 Eastern Standard Time","58220","8081",
"30","Dec  2, 2017 12:44:14.198385000 Eastern Standard Time","58220","8081",
"31","Dec  2, 2017 12:44:14.198399000 Eastern Standard Time","8081","58220",
"32","Dec  2, 2017 12:44:14.198635000 Eastern Standard Time","8081","58220",
"33","Dec  2, 2017 12:44:14.199136000 Eastern Standard Time","58220","8081",
"34","Dec  2, 2017 12:44:14.199328000 Eastern Standard Time","58220","8081",
"35","Dec  2, 2017 12:44:14.199505000 Eastern Standard Time","8081","58220",
"36","Dec  2, 2017 12:44:14.199709000 Eastern Standard Time","8081","58220",
"37","Dec  2, 2017 12:44:14.199859000 Eastern Standard Time","58220","8081",
"38","Dec  2, 2017 12:44:14.200154000 Eastern Standard Time","58220","8081",
"39","Dec  2, 2017 12:44:14.200193000 Eastern Standard Time","8081","58220",
"40","Dec  2, 2017 12:44:14.200434000 Eastern Standard Time","8081","58220",
"41","Dec  2, 2017 12:44:14.229746000 Eastern Standard Time","58220","8081",
"42","Dec  2, 2017 12:44:14.230114000 Eastern Standard Time","8081","58220",
"43","Dec  2, 2017 12:44:14.230163000 Eastern Standard Time","58220","8081",
"44","Dec  2, 2017 12:44:14.230569000 Eastern Standard Time","8081","58220",
"45","Dec  2, 2017 12:44:14.456034000 Eastern Standard Time","58220","8081",
"46","Dec  2, 2017 12:44:14.456439000 Eastern Standard Time","8081","58220",
"47","Dec  2, 2017 12:44:14.459897000 Eastern Standard Time","58220","8081",
"48","Dec  2, 2017 12:44:14.461843000 Eastern Standard Time","58220","8081",
"49","Dec  2, 2017 12:44:14.462268000 Eastern Standard Time","8081","58220",
"50","Dec  2, 2017 12:44:14.493144000 Eastern Standard Time","8081","58220",
"51","Dec  2, 2017 12:44:14.493306000 Eastern Standard Time","8081","58220",
"52","Dec  2, 2017 12:44:14.743870000 Eastern Standard Time","58220","8081",
"53","Dec  2, 2017 12:44:14.747874000 Eastern Standard Time","58220","8081",
"54","Dec  2, 2017 12:44:14.779471000 Eastern Standard Time","8081","58220",
"55","Dec  2, 2017 12:44:14.779635000 Eastern Standard Time","8081","58220",
"56","Dec  2, 2017 12:44:14.779757000 Eastern Standard Time","8081","58220",
"57","Dec  2, 2017 12:44:14.779849000 Eastern Standard Time","8081","58220",
"58","Dec  2, 2017 12:44:15.041880000 Eastern Standard Time","58220","8081",
"59","Dec  2, 2017 12:44:15.041952000 Eastern Standard Time","58220","8081",
"60","Dec  2, 2017 12:44:15.041995000 Eastern Standard Time","58220","8081",
"61","Dec  2, 2017 12:44:15.042038000 Eastern Standard Time","58220","8081",
"62","Dec  2, 2017 12:44:15.043907000 Eastern Standard Time","58220","8081",
"63","Dec  2, 2017 12:44:15.082158000 Eastern Standard Time","8081","58220",
"64","Dec  2, 2017 12:44:15.082698000 Eastern Standard Time","8081","58220",
"65","Dec  2, 2017 12:44:15.082934000 Eastern Standard Time","8081","58220",
"66","Dec  2, 2017 12:44:15.083340000 Eastern Standard Time","8081","58220",
"67","Dec  2, 2017 12:44:15.333511000 Eastern Standard Time","58220","8081",
"68","Dec  2, 2017 12:44:15.333663000 Eastern Standard Time","58220","8081",
"69","Dec  2, 2017 12:44:15.333787000 Eastern Standard Time","58220","8081",
"70","Dec  2, 2017 12:44:15.337839000 Eastern Standard Time","58220","8081",
"71","Dec  2, 2017 12:44:15.338009000 Eastern Standard Time","58220","8081",
"72","Dec  2, 2017 12:44:15.377131000 Eastern Standard Time","8081","58220",
"73","Dec  2, 2017 12:44:15.377584000 Eastern Standard Time","8081","58220",
"74","Dec  2, 2017 12:44:15.378937000 Eastern Standard Time","8081","58220",
"75","Dec  2, 2017 12:44:15.630168000 Eastern Standard Time","58220","8081",
"76","Dec  2, 2017 12:44:15.632286000 Eastern Standard Time","58220","8081",
"77","Dec  2, 2017 12:44:15.644964000 Eastern Standard Time","58220","8081",
"78","Dec  2, 2017 12:44:15.645039000 Eastern Standard Time","58220","8081",
"79","Dec  2, 2017 12:44:15.680165000 Eastern Standard Time","8081","58220",
"80","Dec  2, 2017 12:44:15.680384000 Eastern Standard Time","8081","58220",
"81","Dec  2, 2017 12:44:15.680837000 Eastern Standard Time","8081","58220",
"82","Dec  2, 2017 12:44:15.967861000 Eastern Standard Time","58220","8081",
"83","Dec  2, 2017 12:44:15.968027000 Eastern Standard Time","58220","8081",
"84","Dec  2, 2017 12:44:15.968191000 Eastern Standard Time","58220","8081",
"85","Dec  2, 2017 12:44:15.968584000 Eastern Standard Time","58220","8081",
"86","Dec  2, 2017 12:44:15.968996000 Eastern Standard Time","58220","8081",
"87","Dec  2, 2017 12:44:15.969578000 Eastern Standard Time","58220","8081",
"88","Dec  2, 2017 12:44:15.995268000 Eastern Standard Time","8081","58220",
"89","Dec  2, 2017 12:44:15.995338000 Eastern Standard Time","8081","58220",
"90","Dec  2, 2017 12:44:16.245077000 Eastern Standard Time","58220","8081",
"91","Dec  2, 2017 12:44:16.245321000 Eastern Standard Time","58220","8081",
"92","Dec  2, 2017 12:44:16.246663000 Eastern Standard Time","58220","8081",
"93","Dec  2, 2017 12:44:16.249482000 Eastern Standard Time","58220","8081",
"94","Dec  2, 2017 12:44:16.249527000 Eastern Standard Time","58220","8081",
"95","Dec  2, 2017 12:44:16.715940000 Eastern Standard Time","8081","58220",
"96","Dec  2, 2017 12:44:16.979235000 Eastern Standard Time","58220","8081",
"97","Dec  2, 2017 12:44:16.982093000 Eastern Standard Time","58220","8081",
"98","Dec  2, 2017 12:44:17.015599000 Eastern Standard Time","8081","58220",
"99","Dec  2, 2017 12:44:17.015831000 Eastern Standard Time","8081","58220",
"100","Dec  2, 2017 12:44:17.016080000 Eastern Standard Time","8081","58220",
"101","Dec  2, 2017 12:44:17.263914000 Eastern Standard Time","58220","8081",
"102","Dec  2, 2017 12:44:17.264127000 Eastern Standard Time","58220","8081",
"103","Dec  2, 2017 12:44:17.264375000 Eastern Standard Time","8081","58220",
"104","Dec  2, 2017 12:44:17.264531000 Eastern Standard Time","8081","58220",
"105","Dec  2, 2017 12:44:17.265067000 Eastern Standard Time","8081","58220",
"106","Dec  2, 2017 12:44:17.510265000 Eastern Standard Time","58220","8081",
"107","Dec  2, 2017 12:44:17.511830000 Eastern Standard Time","58220","8081",
"108","Dec  2, 2017 12:44:17.515129000 Eastern Standard Time","58220","8081",
"109","Dec  2, 2017 12:44:17.515408000 Eastern Standard Time","58220","8081",
"110","Dec  2, 2017 12:44:17.539818000 Eastern Standard Time","8081","58220",
"111","Dec  2, 2017 12:44:17.540188000 Eastern Standard Time","8081","58220",
"112","Dec  2, 2017 12:44:17.730753000 Eastern Standard Time","58220","8081",
"113","Dec  2, 2017 12:44:17.731405000 Eastern Standard Time","8081","58220",
"114","Dec  2, 2017 12:44:17.732436000 Eastern Standard Time","58220","8081",
"115","Dec  2, 2017 12:44:17.733043000 Eastern Standard Time","8081","58220",
"116","Dec  2, 2017 12:44:17.798420000 Eastern Standard Time","58220","8081",
"117","Dec  2, 2017 12:44:17.983674000 Eastern Standard Time","58220","8081",
"118","Dec  2, 2017 12:44:17.987817000 Eastern Standard Time","58220","8081",
"119","Dec  2, 2017 12:44:18.172399000 Eastern Standard Time","8081","58220",
"120","Dec  2, 2017 12:44:18.417682000 Eastern Standard Time","58220","8081",
"121","Dec  2, 2017 12:44:18.418796000 Eastern Standard Time","58220","8081",
"122","Dec  2, 2017 12:44:18.448451000 Eastern Standard Time","8081","58220",
"123","Dec  2, 2017 12:44:18.448825000 Eastern Standard Time","8081","58220",
"124","Dec  2, 2017 12:44:18.670488000 Eastern Standard Time","58220","8081",
"125","Dec  2, 2017 12:44:18.670644000 Eastern Standard Time","58220","8081",
"126","Dec  2, 2017 12:44:18.670855000 Eastern Standard Time","8081","58220",
"127","Dec  2, 2017 12:44:18.671102000 Eastern Standard Time","8081","58220",
"128","Dec  2, 2017 12:44:18.908194000 Eastern Standard Time","58220","8081",
"129","Dec  2, 2017 12:44:18.908482000 Eastern Standard Time","58220","8081",
"130","Dec  2, 2017 12:44:18.908774000 Eastern Standard Time","8081","58220",
"131","Dec  2, 2017 12:44:18.939514000 Eastern Standard Time","58220","8081",
"132","Dec  2, 2017 12:44:19.115377000 Eastern Standard Time","58220","8081",
"133","Dec  2, 2017 12:44:19.118859000 Eastern Standard Time","58220","8081",
"134","Dec  2, 2017 12:44:19.149652000 Eastern Standard Time","8081","58220",
"135","Dec  2, 2017 12:44:19.149725000 Eastern Standard Time","8081","58220",
"136","Dec  2, 2017 12:44:19.368568000 Eastern Standard Time","58220","8081",
"137","Dec  2, 2017 12:44:19.368693000 Eastern Standard Time","58220","8081",
"138","Dec  2, 2017 12:44:19.370857000 Eastern Standard Time","8081","58220",
"139","Dec  2, 2017 12:44:19.370866000 Eastern Standard Time","8081","58220",
"140","Dec  2, 2017 12:44:19.419424000 Eastern Standard Time","58220","8081",
"141","Dec  2, 2017 12:44:19.596460000 Eastern Standard Time","58220","8081",
"142","Dec  2, 2017 12:44:19.596585000 Eastern Standard Time","58220","8081",
"143","Dec  2, 2017 12:44:19.596703000 Eastern Standard Time","58220","8081",
"144","Dec  2, 2017 12:44:20.032437000 Eastern Standard Time","8081","58220",
"145","Dec  2, 2017 12:44:20.268037000 Eastern Standard Time","58220","8081",
"146","Dec  2, 2017 12:44:20.467906000 Eastern Standard Time","8081","58220",
"147","Dec  2, 2017 12:44:20.697435000 Eastern Standard Time","58220","8081",
"148","Dec  2, 2017 12:44:20.705725000 Eastern Standard Time","58220","8081",
"149","Dec  2, 2017 12:44:20.743658000 Eastern Standard Time","8081","58220",
"150","Dec  2, 2017 12:44:20.745670000 Eastern Standard Time","8081","58220",
"151","Dec  2, 2017 12:44:20.745739000 Eastern Standard Time","8081","58220",
"152","Dec  2, 2017 12:44:20.983819000 Eastern Standard Time","58220","8081",
"153","Dec  2, 2017 12:44:20.984145000 Eastern Standard Time","8081","58220",
"154","Dec  2, 2017 12:44:21.021899000 Eastern Standard Time","58220","8081",
"155","Dec  2, 2017 12:44:21.022271000 Eastern Standard Time","8081","58220",
"156","Dec  2, 2017 12:44:21.213572000 Eastern Standard Time","58220","8081",
"157","Dec  2, 2017 12:44:21.214059000 Eastern Standard Time","8081","58220",
